,Top Nouns,빈도수
10057,응게/EF,1
10058,을주/EC,1
10059,구정전/NNG,1
10060,떳/NNG,1
10061,지연되/VV,1
10062,책임/NNG,1
10063,아염/EF,1
10064,구정지/NNG,1
10065,꿀맛아/NNG,1
10066,살짝쿵/MAG,1
10067,두박/NNG,1
10068,러하/VV,1
10069,하핫/NA,1
10070,모로/MAG,1
10071,꿀각각/NNG,1
10072,말시/VV,1
10073,괜찷/VA,1
10074,어럼/EC,1
10075,멵/NNG,1
10076,늫겟어/EF,1
10077,기및/NNG,1
10078,달후기/NNG,1
10079,재구매사/NNG,1
10080,기그냥/NNG,1
10081,햏멍/EF,1
10082,니규/NNG,1
10083,굿다/NNG,1
10084,박스크기/NNG,1
10085,남산/NNG,1
10086,타워/NNG,1
10087,응고/NNG,1
10088,간편짱/MAG,1
10089,요술자/JX,1
10090,진밤꿀/NNG,1
10091,거주문/NNG,1
10092,전인대/NNP,1
10093,도대체/MAG,1
10094,벌레끼/NNG,1
10095,특별시/NNG,1
10096,아사/NNG,1
10097,한달리/NNG,1
10098,셧다고/EC,1
10099,까맣/VA,1
10100,재구매꿀차/NNG,1
10101,엿는데/NNG,1
10102,끄떡없이/NNG,1
10103,조일/NNP,1
10104,꿀도전/NNG,1
10105,매요/EC,1
10106,꼴꼴/MAG,1
10107,콸콸/MAG,1
10108,빼빼로데이때/NNG,1
10109,공봅/NNG,1
10110,검기/NNG,1
10111,일리캡슐/NNG,1
10112,옴빨리/NNG,1
10113,후공부/NNG,1
10114,피나무블랙커피랑어울림위/NNG,1
10115,벌꿀단독/NNG,1
10116,맛남위/NNG,1
10117,아카시아벌/VA,1
10118,꿀무난하/VA,1
10119,꿀맛위/NNG,1
10120,꿀진/MAG,1
10121,밤꿀호불호/NNG,1
10122,매기/VV,1
10123,꿀또/NNG,1
10124,잏/VV,1
10125,구매주문/NNG,1
10126,요동서벌꿀/VV,1
10127,지면/NNG,1
10128,단거같/VV,1
10129,기출퇴근/NNG,1
10130,사용기매이/NNG,1
10131,일포/JX,1
10132,사잇/VV,1
10133,빨긔/NNG,1
10134,하원하/VV,1
10135,라죠/EC,1
10136,의사백/NNG,1
10137,ㅂ니딘/NNG,1
10138,맛봣/VV,1
10139,드는것/NNG,1
10140,배스틱/NNG,1
10141,잡꾸/VV,1
10142,ㄹ시/VV,1
10143,눙/NNG,1
10144,기분상/NNG,1
10145,한숨자/VV,1
10146,듯ㅋㅋ/NNG,1
10147,그러/NA,1
10148,펺/VV,1
10149,배송빨랏/NNG,1
10150,고조/NNG,1
10151,포장등/NNG,1
10152,어욧/NNG,1
10153,양편하/VA,1
10154,조공하/VV,1
10155,흡사하/VA,1
10156,공치/NNG,1
10157,쿠션/NNG,1
10158,ㅎㅁㅎ/NNG,1
10159,왓스/NNG,1
10160,구매우수고객/NNG,1
10161,몸살기/NNG,1
10162,노곤노곤하/VV,1
10163,기분쓰/NNG,1
10164,사용기올/NNG,1
10165,다롭/VV,1
10166,제조일도/EC,1
10167,용단/NNG,1
10168,메/EF,1
10169,조라료/NNG,1
10170,방꿀/NNG,1
10171,쎈가/NNG,1
10172,핳/EC,1
10173,감로랑/NNG,1
10174,카시아/NNG,1
10175,려/NNG,1
10176,함축되/VV,1
10177,후두염/NNG,1
10178,씁맛/NNG,1
10179,씁하/VV,1
10180,건데/EC,1
10181,구매추가/NNG,1
10182,마이해/VV,1
10183,바이허니스틱/NNG,1
10184,환자분/NNG,1
10185,어습니다/EC,1
10186,포장꼼꼼/EC,1
10187,맣/NNG,1
10188,쭈글쭈글하/VA,1
10189,주물거리/VV,1
10190,요뭐/NNG,1
10191,요변하/VV,1
10192,빠르규/NNG,1
10193,포장스틱/VV,1
10194,배송자/NNP,1
10195,첨구입/NNG,1
10196,붕/NNG,1
10197,추설/NNG,1
10198,요타/NNG,1
10199,화개/NNP,1
10200,편이성/NNG,1
10201,합격점/NNG,1
10202,버릇/NNG,1
10203,정밀/NNG,1
10204,겟구/EC,1
10205,세요/EC,1
10206,디톡스쥬스/NNG,1
10207,맛종/NNG,1
10208,듯점선/NNG,1
10209,물감/NNG,1
10210,사용기맛/JX,1
10211,사용기외출/NNG,1
10212,마누/NNG,1
10213,위쓰림/JX,1
10214,박터균/NNG,1
10215,골라내/VV,1
10216,흐물하/VA,1
10217,폴리재질/NNG,1
10218,및/NNG,1
10219,널널하/VA,1
10220,간호사/NNG,1
10221,경비실/NNG,1
10222,앨리베이터/NNG,1
10223,청소/NNG,1
10224,스윗투스/NNP,1
10225,살맛/NNG,1
10226,요조/NNG,1
10227,놜/JX,1
10228,어영/JX,1
10229,카카오샵/NNG,1
10230,납품하/VV,1
10231,더라요/EC,1
10232,허니바이허/VA,1
10233,에어캡/MAG,1
10234,충분이/MAG,1
10235,까목/VV,1
10236,느겨지/VV,1
10237,군말/NNG,1
10238,작아놀라/VA,1
10239,러모로/NNG,1
10240,좀더/MAG,1
10241,나우라/NNG,1
10242,라르루르으아아/NNG,1
10243,우우우/NNG,1
10244,ㅜ누누누우아아아/NNG,1
10245,촌시/NNG,1
10246,타제품/NNG,1
10247,츠/NNG,1
10248,포자도/NNG,1
10249,기/NNB,1
10250,양제/MAG,1
10251,잡종/NNG,1
10252,번째/NA,1
10253,볼품없/VA,1
10254,꿀맛미숫가루/NNG,1
10255,가분/NNG,1
10256,저먹/NNG,1
10257,간편학/NNG,1
10258,히히히시/NA,1
10259,작은애/NNG,1
10260,회서/NNG,1
10261,조앙응으응/NNG,1
10262,나옥/NNG,1
10263,아소/EC,1
10264,관상/NNG,1
10265,기언제/NNG,1
10266,지/XSA,1
10267,미늘/NNG,1
10268,구매코로나전/NNG,1
10269,추천각/NNP,1
10270,꿀거/NNG,1
10271,진갯수/NNG,1
10272,빠방하/VA,1
10273,구메/NNG,1
10274,거트레/NNG,1
10275,꾸주히/MAG,1
10276,ㅂ니다ㅋ/NNG,1
10277,만성피로/NNG,1
10278,때문애/NNG,1
10279,히르벌/NNG,1
10280,요꿀/EC,1
10281,펃/EF,1
10282,일터/NNG,1
10283,배/EC,1
10284,는건/EC,1
10285,슬림하/VA,1
10286,굿굿웃/NNG,1
10287,최고술/NNG,1
10288,두루두루넘/NNG,1
10289,으여도/EC,1
10290,그야/MAG,1
10291,밤꿀로/EC,1
10292,요거투/NNG,1
10293,한눈팔/VV,1
10294,하루벌꿀삿갓/NNG,1
10295,멤버십/NNG,1
10296,네이버스토어/NNG,1
10297,하루벌꿀지난주/NNG,1
10298,떨구/VV,1
10299,확실이/EC,1
10300,ㅂ니댱/EC,1
10301,햇어요/MAG,1
10302,해드렷어/NNG,1
10303,와야겟네/NNG,1
10304,순삭/NA,1
10305,사용기달콤/JX,1
10306,짤광신자/NNG,1
10307,찬양하/VV,1
10308,질이/EC,1
10309,쯔/NNG,1
10310,ㅁ니댜/NNG,1
10311,미식가/NNG,1
10312,등업/MAG,1
10313,꾸울/VV,1
10314,지척/NNG,1
10315,손꼬락/NNG,1
10316,정독하/VV,1
10317,비껴가/VV,1
10318,꿀유우/NNG,1
10319,즉빵/NNG,1
10320,배송아주/NNG,1
10321,만족래/NNG,1
10322,집꿀/NNG,1
10323,아카시아피나무/NNG,1
10324,집스틱/NNG,1
10325,씁쓰리/MAG,1
10326,어질깨/EC,1
10327,고/VA,1
10328,습니다면/EC,1
10329,늘살/NNG,1
10330,ㅂ니나/NNG,1
10331,초딩아들/EC,1
10332,반쪽/NNG,1
10333,계란/NNG,1
10334,후라이/NNG,1
10335,이롭/VA,1
10336,다지요/EF,1
10337,주문요/NNG,1
10338,할미/NNG,1
10339,요공복/NNG,1
10340,어세/EC,1
10341,개꿀맛꾸/NNG,1
10342,달씁슬하/VV,1
10343,도라지청/JX,1
10344,보양상비약/NNG,1
10345,단연/MAG,1
10346,거트애/NNG,1
10347,사용기포/NNB,1
10348,꿀맛행복/NNG,1
10349,재구매피/NNG,1
10350,또시/VV,1
10351,신쇠/NNG,1
10352,친자/NNG,1
10353,밤꿀시/VV,1
10354,요기꿀/NNG,1
10355,개뱔/NNG,1
10356,있/VV,1
10357,꽝꽝입니닷/NNG,1
10358,구매사/NNG,1
10359,개/EC,1
10360,햇쓰/VV,1
10361,ㅂ니다조/NNG,1
10362,어영/EF,1
10363,오른점/NNG,1
10364,겨울나기/NNG,1
10365,여행가/NNG,1
10366,먹규/NNG,1
10367,라테/NNG,1
10368,팩도/SS,1
10369,성가시/VA,1
10370,잖습니까/EF,1
10371,저런거/NNG,1
10372,서걱서걱/VV,1
10373,으몃/EC,1
10374,구매다섯/SN,1
10375,구매비/NNG,1
10376,억먹/VV,1
10377,먹엇엇/VV,1
10378,한/JX,1
10379,주문서/NNG,1
10380,넣음/NNG,1
10381,용목/EF,1
10382,확대하/VV,1
10383,강추강추/JX,1
10384,달다하/VV,1
10385,싸름/NNG,1
10386,이맘떄/NNG,1
10387,당목/EC,1
10388,근질근질하/VV,1
10389,팩하/VV,1
10390,ㅂㄴ다/EC,1
10391,저/SN,1
10392,늘하/VV,1
10393,사치스럽/VA,1
10394,밧어/NNG,1
10395,월등하/VA,1
10396,금모/NNG,1
10397,듯필수템/NNG,1
10398,요료/NNG,1
10399,맛자/NNG,1
10400,나여/EC,1
10401,살아이/VV,1
10402,더블어/NNG,1
10403,번장하/VA,1
10404,먹우/NNG,1
10405,ㅁ데/EC,1
10406,위쓰림/NNG,1
10407,청담/NNP,1
10408,멎/VV,1
10409,기소지/NNG,1
10410,가수/NNG,1
10411,하성운/NNP,1
10412,찬스/NNG,1
10413,호로/NNG,1
10414,허/IC,1
10415,콤하/VV,1
10416,다루/VV,1
10417,계삭/NNG,1
10418,자고하/EF,1
10419,쫀쫀하/VV,1
10420,습니딛/EC,1
10421,용이하고/NNG,1
10422,해서/NNG,1
10423,쌉싸래하/VA,1
10424,어뇨/EC,1
10425,후밤꿀/NNG,1
10426,칼로리/NNG,1
10427,꿀그램/NNG,1
10428,비해/NNG,1
10429,요기꼬/NNG,1
10430,간편햐/NNG,1
10431,려고오/EF,1
10432,건너뛰/VV,1
10433,곳가/NNG,1
10434,본째/NNG,1
10435,야생밤/NNG,1
10436,부번/NNG,1
10437,캬/EC,1
10438,중딩/IC,1
10439,먹ㅈ/VV,1
10440,약감/NNG,1
10441,포머그/VV,1
10442,씁니다/EF,1
10443,시험공부/NNG,1
10444,군것질거리/NNG,1
10445,픔절/NNG,1
10446,구매아침공복/NNG,1
10447,육/NR,1
10448,아픔/NNG,1
10449,품잘/NNG,1
10450,ㅠㅜ/EC,1
10451,여기꺼/MAG,1
10452,겟다는/EC,1
10453,삽니딘/MAG,1
10454,래놀라/NNG,1
10455,조정되/VV,1
10456,는바/EC,1
10457,ㅂ다/NNG,1
10458,주신거치/VV,1
10459,하루한/SN,1
10460,되가/VV,1
10461,딴거/NNG,1
10462,열나/VV,1
10463,기다렷쓰/VV,1
10464,ㅋ궁/NNG,1
10465,삿갓유통/NNP,1
10466,지금이/NNG,1
10467,엩/NNG,1
10468,눈데/EF,1
10469,어룬/NNG,1
10470,친정어른/NNG,1
10471,통사서/NNG,1
10472,중학생딸/NNG,1
10473,반년/NNG,1
10474,덩어리지/VA,1
10475,이산되/VV,1
10476,장점저/NNG,1
10477,야생화추/NNG,1
10478,곡기오/NNG,1
10479,밤꿀/IC,1
10480,고것/NP,1
10481,꿀딸/NNG,1
10482,요스펀지/JX,1
10483,것갗/NNG,1
10484,그래듀/NNG,1
10485,로다/EC,1
10486,런데/EC,1
10487,쓸데없/VA,1
10488,절삭되/VV,1
10489,요당/NNG,1
10490,저혈/NNG,1
10491,꿀벌이/NNG,1
10492,기혈당/NNG,1
10493,할튼/NNG,1
10494,브로슈어/NNG,1
10495,드세/VA,1
10496,꿀맛우유/NNG,1
10497,화들딱/VV,1
10498,군것질용/NNG,1
10499,기여어어/NNG,1
10500,홍삼이/NNG,1
10501,휘어지/VV,1
10502,의문/NNG,1
10503,지불하/VV,1
10504,사용기마/NNG,1
10505,비밀/NNG,1
10506,개너/NNG,1
10507,빠르넹/NNG,1
10508,피나무꿀/NNG,1
10509,입컷/NNG,1
10510,간변/NNG,1
10511,구매머꼬/NNG,1
10512,써요/EC,1
10513,관광/NNG,1
10514,ㅋ병/NNG,1
10515,나무껍질/NNG,1
10516,하하/NNG,1
10517,공복시/NNG,1
10518,진심고딩아들/NNG,1
10519,싮/VV,1
10520,다네요/EC,1
10521,검지/NNG,1
10522,오그/NNG,1
10523,리고/NNG,1
10524,아즈/NA,1
10525,함번/MAG,1
10526,하루꿀보/NNG,1
10527,넉넉이/MAG,1
10528,저이/NNG,1
10529,긍데/NNG,1
10530,음개당/NNG,1
10531,안겟네/NNG,1
10532,효능서/NNG,1
10533,하하그날그날/NNG,1
10534,맛나용ㅋㅋㅋ/NNG,1
10535,ㄴ갑다하/VV,1
10536,환장/NNG,1
10537,아카시아아닌/NNG,1
10538,짜증납/VV,1
10539,쇽/MAG,1
10540,머꼬/VA,1
10541,려구뇨/EC,1
10542,깔끔깔끔하/VV,1
10543,하루개/NNG,1
10544,나요재/NNG,1
10545,힘나/NNG,1
10546,개꿈/NNG,1
10547,뜯엇/VV,1
10548,불상사/NNG,1
10549,다는대/EC,1
10550,종전/NNG,1
10551,기분상/EC,1
10552,현찰/NNG,1
10553,리뷰보/VA,1
10554,뒤로하/VV,1
10555,쑤욱/MAG,1
10556,쫍쫍쪼/NNG,1
10557,진향/NNG,1
10558,요스틱/JX,1
10559,뜾/VV,1
10560,허/VX,1
10561,넉녹헤/NNG,1
10562,ㄹㄹ/EF,1
10563,ㅕ구/EF,1
10564,달짝/NNG,1
10565,나눕/VV,1
10566,한루/NNG,1
10567,세심히/MAG,1
10568,요갯수/EC,1
10569,느긋하/VA,1
10570,쎈편/NNG,1
10571,아생화/NNG,1
10572,꿀한봉/NNG,1
10573,끈덕임/NNG,1
10574,잇/VA,1
10575,살앗/VV,1
10576,갓/VX,1
10577,주사맞/VV,1
10578,병원비/NNG,1
10579,러각니다/EF,1
10580,바로하/VV,1
10581,인스/NNG,1
10582,당뇨시/NNG,1
10583,구매지인/NNP,1
10584,드/NNP,1
10585,ㅂ니다구/EC,1
10586,천연벌꿀/EC,1
10587,쎄네염/MAG,1
10588,할주/VV,1
10589,드렷는데/EF,1
10590,듯저/NNG,1
10591,넉낙/NNG,1
10592,먹고/EC,1
10593,중학교/NNG,1
10594,꾸전히/NNG,1
10595,재구매번/NNG,1
10596,와먹/VV,1
10597,어르신드/NNG,1
10598,진함/NNG,1
10599,쌍화탕/NNG,1
10600,클쑤마쑤/NNG,1
10601,밤꿀추/NNG,1
10602,요즘부쩍/MAG,1
10603,요쭉/NNG,1
10604,향돛/VV,1
10605,끈마무리/NNG,1
10606,제값/NNG,1
10607,기씁쓸하/VV,1
10608,몆번/NNG,1
10609,어요개/EC,1
10610,겟지요/EF,1
10611,골프장필드/NNG,1
10612,흐엉/NNP,1
10613,사용기매임매일/NNG,1
10614,거겟/NNG,1
10615,살균되/VV,1
10616,도착되/VV,1
10617,어었/VV,1
10618,쓰럽/VA,1
10619,재구매꿀향/NNG,1
10620,고위/NNG,1
10621,매항/NNG,1
10622,요향/EC,1
10623,쌉스름하/VA,1
10624,남편저아들/NNG,1
10625,맜있/VA,1
10626,ㄱㅐ/NNG,1
10627,통정/NNG,1
10628,흡연/NNG,1
10629,ㅋ목/NNG,1
10630,씻기/VV,1
10631,아이/VCN,1
10632,포장등등괜/MAG,1
10633,맛조/EC,1
10634,네여다/EC,1
10635,ㄹ까나/EF,1
10636,강/NNP,1
10637,단니/VV,1
10638,구매애/NNG,1
10639,사용기마른기침/NNG,1
10640,려는지/EC,1
10641,감쪽같이/MAG,1
10642,달달씁쓸하/VA,1
10643,브럔드/NNG,1
10644,삼촌/NNG,1
10645,실재/NNG,1
10646,포개/VV,1
10647,ㅂ니담/EC,1
10648,하구용/NNP,1
10649,요차/NNG,1
10650,는구/EF,1
10651,너이/NNG,1
10652,재구매꿀맛/NNG,1
10653,보안하/VV,1
10654,절단하/VV,1
10655,와유/NNG,1
10656,올라갓/VV,1
10657,용꿀맛/EC,1
10658,용피나무/NNG,1
10659,사요굿굿/NNG,1
10660,훔치/VV,1
10661,드심/NNG,1
10662,포기/NNG,1
10663,가성비대비/NNG,1
10664,안/JX,1
10665,넘쓰/VV,1
10666,팜플릿/NNG,1
10667,꼬릿꼬릿/MAG,1
10668,일개/NNG,1
10669,땜시/NNG,1
10670,코끝/NNG,1
10671,신기롭/VA,1
10672,맛나/VV,1
10673,도오전계/NNG,1
10674,하루벌/JX,1
10675,요청사항/NNG,1
10676,요피/NNG,1
10677,초등아들/NNG,1
10678,꿀폭탄/NNG,1
10679,양/EF,1
10680,꽃향이/NNG,1
10681,나주/NNP,1
10682,ㅋ위염/NNG,1
10683,몸생각/EC,1
10684,처참하/VA,1
10685,데구르르/MAG,1
10686,굴러다니/VV,1
10687,밤꿀후기/NNG,1
10688,출하되/VV,1
10689,택배옴/NNG,1
10690,예뻐지/VV,1
10691,밤향나/NNG,1
10692,ㅋㅋ후기/MAG,1
10693,요사/NNG,1
10694,편리함/NNG,1
10695,식상/NNG,1
10696,효괴/NNG,1
10697,겉같/VV,1
10698,너여/EF,1
10699,밸런스/NNG,1
10700,ㄹ게영/EC,1
10701,피티/NNG,1
10702,트레이너/NNP,1
10703,금지/NNG,1
10704,후에/NNP,1
10705,구임/NNG,1
10706,비사/NNG,1
10707,쌤플/JX,1
10708,슴당/EF,1
10709,어소/NNG,1
10710,으슬으슬/MAG,1
10711,라기대/NNG,1
10712,아브시스산/NNG,1
10713,음먹/VV,1
10714,구매풀라스틱/NNG,1
10715,으면머하/EC,1
10716,포씻/NNG,1
10717,맛잇대/NNG,1
10718,개선점/NNG,1
10719,ㄹ떄/EF,1
10720,양보/NNG,1
10721,씌이/VV,1
10722,구매계속/NNG,1
10723,대용량/NNG,1
10724,이전하/VV,1
10725,으먀/NNG,1
10726,살려고/EF,1
10727,하루벌/VA,1
10728,통이/NNG,1
10729,샘플로/NNG,1
10730,들여놓/VV,1
10731,서리/NNG,1
10732,골프장가/NNG,1
10733,오감하/NNG,1
10734,피나무향/NNG,1
10735,잇/VX,1
10736,겟거니/NNG,1
10737,완젼토종벌꿀/NNG,1
10738,빠릉배/NNG,1
10739,걸림/VV,1
10740,기매/SN,1
10741,손해/NNG,1
10742,엇음/EC,1
10743,구매함포장/NNG,1
10744,는사/EC,1
10745,꼼꼼포장/NNG,1
10746,배송개/NNG,1
10747,제입/NNG,1
10748,아카시아로/NNG,1
10749,스타터/NNG,1
10750,소심하/VA,1
10751,훗/IC,1
10752,쓰겟/NNG,1
10753,송뻐루/VV,1
10754,하파/NNG,1
10755,엧/EC,1
10756,찌리/VA,1
10757,인가족/NNG,1
10758,습미/EF,1
10759,뺍니다/NNG,1
10760,지맘/NNG,1
10761,배송겁/NNG,1
10762,봣어/NNG,1
10763,서리태/NNG,1
10764,유리알/NNG,1
10765,임파선/NNG,1
10766,밤꿀덕/NNG,1
10767,ㅂ니가/NNG,1
10768,굿조아/NNG,1
10769,당/JX,1
10770,ㄴ하/SS,1
10771,찌린내/NNG,1
10772,명시되/VV,1
10773,흠칫하/VV,1
10774,을치/NNG,1
10775,좔/VX,1
10776,다아다아/EF,1
10777,창원/NNP,1
10778,관대하/VA,1
10779,음조/NNG,1
10780,맛쳥가/NNG,1
10781,피곤감/NNG,1
10782,여운/NNG,1
10783,ㅋ하/VV,1
10784,좋꾸이/VV,1
10785,가간편하/VV,1
10786,처음사/VV,1
10787,비염인/NNG,1
10788,추청/NNG,1
10789,맛번/VV,1
10790,걸아가/VV,1
10791,선물도/NNG,1
10792,예정되/VV,1
10793,안접하/VV,1
10794,꿀먼저/NNG,1
10795,꿀어린이/NNG,1
10796,사요/EC,1
10797,단당/NNG,1
10798,습니다다/EF,1
10799,참여하/VV,1
10800,회원분/NNG,1
10801,듯늘/NNG,1
10802,찐짜/MAG,1
10803,밤꿀맞/VA,1
10804,아카사아/NNG,1
10805,이익뭐/NNG,1
10806,재구시/NNG,1
10807,하인/NNG,1
10808,현실/NNG,1
10809,이밴트/NNG,1
10810,개구매시/NNG,1
10811,욥/NNG,1
10812,야생쑤/NNG,1
10813,싸쓰름하/VA,1
10814,이랏니/NNG,1
10815,한/SN,1
10816,주좋/NNG,1
10817,낭만/NNG,1
10818,우려되/VV,1
10819,귤피/NNG,1
10820,판정/NNG,1
10821,먹늫/VV,1
10822,달달구리/SS,1
10823,나내/VV,1
10824,밤꿀다음/NNG,1
10825,거저/MAG,1
10826,거알아보/VV,1
10827,덜/NNG,1
10828,여간편/JX,1
10829,꿂/VV,1
10830,간단간단히/NNG,1
10831,술조아/NNG,1
10832,밤꿀로/NNG,1
10833,줫어/NNG,1
10834,뒤끝/NNG,1
10835,쌉살하/VA,1
10836,지용/NNP,1
10837,사용기언/NNG,1
10838,음후/NNG,1
10839,지니/EC,1
10840,팩원/NNG,1
10841,일일스틱/NNP,1
10842,일양/NNP,1
10843,제목/NNG,1
10844,의식/NNG,1
10845,완젼/MAG,1
10846,을께욤/EC,1
10847,밤꿀피아/NNG,1
10848,횽/JX,1
10849,는다고/EF,1
10850,삿갓유통/NNG,1
10851,휴대히/EC,1
10852,기자주/NNG,1
10853,위랑/NNG,1
10854,으려요/EC,1
10855,정됴/JX,1
10856,조립식/NNG,1
10857,껍니/NNG,1
10858,치킨/NNG,1
10859,편도선/NNG,1
10860,왓고/NNG,1
10861,한기/NNG,1
10862,용기달달하/VV,1
10863,너치/NNG,1
10864,맛진허니/NNG,1
10865,꿀섭취가/NNG,1
10866,타사비/NNG,1
10867,간과/NNG,1
10868,삐싸/VA,1
10869,굿굿부/SS,1
10870,드럽/VA,1
10871,용요거트/NNG,1
10872,귯/SF,1
10873,밤꿀회분/NNG,1
10874,다는군/EF,1
10875,구매맛/SS,1
10876,하루하/NNG,1
10877,부재료/NNG,1
10878,적당양/NNG,1
10879,보물찾기/NNG,1
10880,않/NNG,1
10881,볼꿀/NNG,1
10882,부처/NNG,1
10883,찍/NNG,1
10884,마시쓰/VA,1
10885,씁슬하/VV,1
10886,씁씁하/NNG,1
10887,광장히/NNG,1
10888,에욘/NNG,1
10889,더니까/EC,1
10890,꿀로/NNG,1
10891,주문햇어/NNG,1
10892,산책가/NNG,1
10893,므튼/MAG,1
10894,욜/NA,1
10895,좃마/NNG,1
10896,봣어요/NNG,1
10897,기계속/NNG,1
10898,아카시아넘/SS,1
10899,뻐르/VA,1
10900,반송하/VV,1
10901,을깨요/EC,1
10902,컴퓨터/NNG,1
10903,굿굿평소/NNG,1
10904,버리않/VV,1
10905,때로/MAG,1
10906,조근/NNG,1
10907,홍삼액기스/NNG,1
10908,꿀효등/NNG,1
10909,칼집/NNG,1
10910,주셧음/MAG,1
10911,맛고/NNP,1
10912,안까먹/VA,1
10913,호박/NNG,1
10914,신토불이/NNG,1
10915,하루스틱/NNG,1
10916,과량/NNG,1
10917,전자렌지/NNG,1
10918,대서/EF,1
10919,아욬/EC,1
10920,대비짱/NNG,1
10921,우유컵/NNG,1
10922,수하성운/NNG,1
10923,갓시장허니스틱/NNG,1
10924,시장허니스틱/NNG,1
10925,퐁당퐁/NNG,1
10926,공복자/NNG,1
10927,구매회/NNP,1
10928,셧다네/EC,1
10929,충전굿/NNG,1
10930,갓시장/NNG,1
10931,싸장/NNP,1
10932,마우스/NNP,1
10933,흉내/NNG,1
10934,내놓/VV,1
10935,으로구/EF,1
10936,구리하/VV,1
10937,매급히/NNG,1
10938,굿부모/NNG,1
10939,밤꿀쌉쌀하/VA,1
10940,씁쓰/NNG,1
10941,력/NNG,1
10942,꼬박꼬박잘/EC,1
10943,평때문/NNG,1
10944,명칭/NNG,1
10945,벌꿀매일/NNG,1
10946,갤/NNG,1
10947,ㅎ몇/SN,1
10948,암생각/NNG,1
10949,귀엽간/NNG,1
10950,요청드/NNG,1
10951,렷는/EC,1
10952,호박즙/NNG,1
10953,갘/NNG,1
10954,터진/NNG,1
10955,격/NNB,1
10956,아번/NNG,1
10957,거든용/VV,1
10958,그랗/VV,1
10959,넘신기/NNG,1
10960,ㅎ떠먹/VV,1
10961,총그람/NNG,1
10962,약종/NNG,1
10963,거럽/VV,1
10964,소품/NNG,1
10965,상주/NNG,1
10966,문합미다/NNG,1
10967,역배송/NNG,1
10968,바야징/JX,1
10969,사다가/NNG,1
10970,맛닛음/NA,1
10971,캐나다/NNP,1
10972,에혀/MAG,1
10973,뒤숭숭하/VA,1
10974,쫙쫙/NNG,1
10975,쥬아요/EF,1
10976,씁쓸달달/NNG,1
10977,애림/NNG,1
10978,용밤꿀/JX,1
10979,하궁/NNG,1
10980,제바류/NNG,1
10981,ㅋ지나가/VV,1
10982,비중/NNG,1
10983,꿀이원/NNG,1
10984,소요되/VV,1
10985,대신주문/NNG,1
10986,번데기/NNG,1
10987,괜챦/VA,1
10988,교정/NNG,1
10989,전/EF,1
10990,떡순/NNG,1
10991,우루르쾅쾅/NNG,1
10992,싸아악/NNG,1
10993,죽/MAG,1
10994,뿌랴먹/VV,1
10995,종지/NNG,1
10996,봉기/NNG,1
10997,상주시/NNP,1
10998,협약/NNG,1
10999,촤그/NNG,1
11000,ㄱ랍/NNG,1
11001,달짝지근/NNG,1
11002,딸주/NNG,1
11003,바루/MAG,1
11004,득템/NNG,1
11005,예정각/NNG,1
11006,비갑꼼꼼/NNG,1
11007,떠먹이/VV,1
11008,헌데/NNG,1
11009,잇음굿굿/NNG,1
11010,예상되/VV,1
11011,자주이/NNG,1
11012,뇽하/NNG,1
11013,다음엣/NNG,1
11014,폄/EC,1
11015,안고프/VV,1
11016,적장하/VV,1
11017,고두고/NNG,1
11018,달기/NNG,1
11019,ㄴ담/EC,1
11020,떡찍먹용ㅋㅋ/NA,1
11021,기쎄일/NNG,1
11022,누/EF,1
11023,정/EC,1
11024,화이트데이/NNG,1
11025,주뭄/MAG,1
11026,건포도/NNG,1
11027,라즈베리/NNG,1
11028,회포장/NNG,1
11029,보겟습니/NNG,1
11030,으내/EF,1
11031,용다/EC,1
11032,취향그/NNG,1
11033,화려하/VA,1
11034,많앗/VA,1
11035,좋느/NNG,1
11036,ㅂ니자/NNG,1
11037,그잔/NNG,1
11038,밤꽃벌/NNG,1
11039,게이너/NNG,1
11040,뇨/EC,1
11041,조아/JX,1
11042,가족돌/NNG,1
11043,빵르/VV,1
11044,가즈/NNG,1
11045,아누/NNG,1
11046,낭/NNG,1
11047,양정/NNG,1
11048,아주약간/NNG,1
11049,핡/NNG,1
11050,ㅋ그/NNG,1
11051,눈대/JX,1
11052,가족지/NNG,1
11053,어니/NNG,1
11054,포장과/NNG,1
11055,빈혈에/NNG,1
11056,파세욤/MAG,1
11057,갠찮/VV,1
11058,아너무/NNG,1
11059,꿀섭취/EC,1
11060,사용기한번/NNG,1
11061,끈적임/NNG,1
11062,교시/NNB,1
11063,덜되/VA,1
11064,기빵/NNG,1
11065,필요없움/NNG,1
11066,배송ㅋ/NNG,1
11067,는데저/EC,1
11068,느낌월/NNG,1
11069,번스틱/NNG,1
11070,쑥즙/NNG,1
11071,털어살/VA,1
11072,어어어엄/NNG,1
11073,넘먹/VV,1
11074,예욤/NNG,1
11075,치질/NNG,1
11076,섬유/NNG,1
11077,어봣/EC,1
11078,봣음/NNG,1
11079,포한포/JX,1
11080,이엥/NNG,1
11081,먹야/NNG,1
11082,하루벌/SS,1
11083,엄내/NNG,1
11084,예욤굿/NNG,1
11085,아자아/NNG,1
11086,조크/NNG,1
11087,거품없/NNG,1
11088,ㄴ긪/NNG,1
11089,드버/NNG,1
11090,읙/NNG,1
11091,ㅋ엄/NNG,1
11092,지스틱/NNG,1
11093,살아들/VV,1
11094,당충분/NNG,1
11095,다른거/MAG,1
