,Top Nouns,빈도수
698,오래/MAG,124
699,미리/MAG,124
700,씁쓸하/VA,124
701,약하/VA,123
702,어여/EC,122
703,주/NNG,121
704,햇어/NNG,121
705,믿음/NNG,121
706,만큼/NNB,121
707,문의/NNG,121
708,허니스틱/NNG,121
709,올리/VV,121
710,비하/VV,121
711,물건/NNG,120
712,귀찮/VA,120
713,대/EF,119
714,어린이집/NNG,119
715,삿/VV,119
716,장점/NNG,119
717,거든/EF,119
718,으면서/EC,118
719,열심히/MAG,118
720,박/NNG,118
721,었었/EP,117
722,강하/VA,117
723,ㅎㅎ/JX,117
724,같이/JKB,117
725,정성/NNG,116
726,피곤/NNG,116
727,등/NNB,116
728,싸/VA,115
729,퀄리티/NNG,115
730,튼튼하/VA,115
731,달달하/VV,115
732,비누/NNG,115
733,올인원/NNG,114
734,넘/VV,114
735,동생/NNG,114
736,쏙/MAG,114
737,딱이/VV,114
738,색/NNG,114
739,별로/MAG,114
740,가지/VX,113
741,환경/NNG,113
742,진/NNG,113
743,끝/NNG,112
744,빨/VV,112
745,급하/VA,112
746,등산/NNG,112
747,오늘/NNG,112
748,너무나/MAG,112
749,기대하/VV,112
750,운동하/VV,112
751,결혼/NNG,112
752,섞/VV,111
753,깊/VA,111
754,섭취/NNG,111
755,번창/NNG,111
756,그런/MMD,110
757,영양제/NNG,110
758,설명/NNG,110
759,종/NNG,110
760,다/NNG,110
761,만족도/NNG,110
762,칭찬/NNG,110
763,떡/NNG,110
764,젤/MAG,109
765,딸/NNG,109
766,미숫가루/NNG,109
767,아깝/VA,109
768,골고루/MAG,109
769,강추하/VV,109
770,비닐/NNG,108
771,뜯어먹/VV,108
772,넘넘/NNG,108
773,부탁/NNG,107
774,기아주/NNG,107
775,칼칼하/VA,106
776,동료/NNG,106
777,든/JX,106
778,기/NNG,106
779,와/JKB,106
780,음식/NNG,105
781,아용/EF,105
782,흘리/VV,105
783,어떻/VA,104
784,면/NNG,104
785,과일/NNG,104
786,아여/EC,103
787,그대로/MAG,103
788,새/VV,103
789,선택/NNG,102
790,번거롭/VA,102
791,사용기재/NNG,101
792,떠먹/VV,100
793,판매하/VV,100
794,카드/NNG,100
795,착하/VA,99
796,해보/VV,99
797,기존/NNG,99
798,심하/VA,99
799,결혼식/NNG,98
800,관리/NNG,98
