,Unnamed: 0,제품명,가격,평균평점,아이디,평점,날짜,종류,요약,리뷰
357,37,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,toto******,3,22.05.17.,"상품구성선택: 블렌딩 허니스틱20포(쇼핑백포함)
",유통기한꽤 남았어요포장적당해요편리그냥그래요,"동그란 케이스 안에 꿀은 선물 주기에 고급스럽습니다.
박스는  5개주문 중 1개는 너무 구겨져 있어 선물 안했어요.
다음엔 박스까지도 깨끗한 것으로 확인하고 보내주시면 좋겠네요."
358,38,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,jjun****,4,22.05.13.,"상품구성선택: 블렌딩 허니스틱20포(쇼핑백포함)
",유통기한아주 넉넉해요포장적당해요편리편리해요,"포장은 잘되서 왔는데 이상하게 하나가 뚜껑이 터져서 왔네요 쇼핑 백은 2개가 덜 왔구요ㅠㅠ 
오늘 선물해야해서 그냥 쇼핑백 없이 드리고 했는데. 하나는 망가져서 줄수가 없어서 좀 그렇제요"
359,39,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,bird****,5,22.05.27.,"상품구성선택: 블렌딩 허니스틱20포(쇼핑백포함)
",유통기한꽤 남았어요포장꼼꼼해요편리편리해요,받으신 분들이 고급스럽다고 하십니다.
360,40,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,leej*****,5,22.05.31.,"상품구성선택: 블렌딩 허니스틱20포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"한달사용기하나씩 짜서 먹을수 있고
잘 포장 되어있는 꿀 답례품으로 좋네요
감사합니다"
361,41,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,nara******,5,22.02.26.,"상품구성선택: 4가지맛 천연꿀 허니스틱20포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"너무너무좋아요 
진짜..제가여지껏
이런저런식품.전자제품.의류등등..
온라인쇼핑많이했지만..
이것만큼만족한건없었네요
진짜감동입니다ㅠㅠ
정말맘에들구요...맛도좋고..
가성비갑갑갑~~^^
좋은제품을저렴히판매해주셔서감사해요
담는쇼핑백기대도안했는데..
너무좋구..
손잡이까지..세련된~^^
대~~~~~~~~만족입니다 
복받으시고번창하세용~~^^
저는지인들선물로요고정착입니다♡♡♡"
362,42,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,syks***,5,22.04.30.,"상품구성선택: 블렌딩 허니스틱20포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"배송도 빠르고 꼼꼼한 포장으로 안전하게 잘 도착했어요
상품구성도 만족스럽습니다 :)"
363,43,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,leej*****,5,22.04.25.,"상품구성선택: 블렌딩 허니스틱20포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"늦지 않은 빠른 배송에 좋은 상품 너무 좋습니다
톡 뜯어 짜먹기 편리합니다
결혼 답례품으로 하기 너무 좋습니다!!"
364,44,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,jyye*****,5,22.04.03.,"상품구성선택: 4가지맛 천연꿀 허니스틱20포(쇼핑백포함)
",유통기한꽤 남았어요포장꼼꼼해요편리편리해요,결혼 회사답례품으로 구매했어요! 꿀 먹어보니 맛있어용!! 판매자분 친절하시고 많이 파세요:)
365,45,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,so****,5,22.04.22.,"상품구성선택: 4가지맛 천연꿀 허니스틱15포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,포장도 고급스럽고 받으시는 분들도 좋아하시네요
366,46,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,dlwj*******,5,22.04.12.,"상품구성선택: 블렌딩 허니스틱20포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"판매자분도 정말 친절하고 
상품들 다 상태가 넘 좋았어요 :) 
포장도 예뻐요"
367,47,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,csm0***,5,22.05.15.,"상품구성선택: 블렌딩 허니스틱15포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,빠른배송 좋은품질  저렴한가격
368,48,허니스틱 15포 / 20포 지통 선물세트 결혼 돌 승진 [원산지:국산(경기도 안산시)],"21,000",4.8,fatt*****,5,22.04.26.,"상품구성선택: 블렌딩 허니스틱20포(쇼핑백포함)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"재구매주문전 친절하게 응대해주시고
꼼꼼하게 포장해주셔서 감사합니다.
선물받으실 분이 정말 좋아 하실 것 같아요."
