,제품명,가격,평균평점,아이디,평점,날짜,종류,요약,리뷰
40,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,reda******,5,22.07.23.,"지리산꿀스틱: 일반포장(100포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,온가족이 하루에 한포씩 먹고 있는데 먹기 편하고 좋습니다
41,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,ager***,5,22.07.23.,"지리산꿀스틱: 일반포장(20포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,재구매두 달째 먹고 있습니다.
42,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,bebe*****,5,22.06.18.,"지리산꿀스틱: 일반포장(50포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,한달사용기잘먹고 있습니다^^
43,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,mbcb*******,4,22.06.03.,"지리산꿀스틱: 일반포장(20포)
",유통기한꽤 남았어요포장적당해요편리편리해요,"지리산 약초꽃꿀 구매해서 먹어 보고
이번에는 휴대가 간편한 스틱타입으로
구매해봅니다
먹어 본 그 맛이겠죠?"
44,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,ager***,5,22.06.16.,"지리산꿀스틱: 일반포장(20포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,금식 기간에 먹으려고 구매했어요.
45,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,swee*******,5,22.05.03.,"지리산꿀스틱: 일반포장(100포)
",유통기한꽤 남았어요포장적당해요편리편리해요,"먹기편리하고좋아요,만족합니다"
46,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,0pti******,5,22.04.26.,"지리산꿀스틱: 일반포장(20포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,아주맛나네용 ㅎㅎ먹고 골아떨어졌어요
47,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,kkh2***,5,22.04.27.,"지리산꿀스틱: 일반포장(20포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"한달사용기맛있고 간편해요 
바닐라 라떼 먹을때
1포"
48,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,conf********,5,22.04.21.,"지리산꿀스틱: 일반포장(20포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,한달사용기스틱형이라 편하고 맛도 좋아요 또 사고 싶어요
49,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,kse3***,5,22.04.24.,"지리산꿀스틱: 일반포장(100포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,벌써 세번째구매입니다. 온가족이 같이먹으니까 금방 사라져버려요.  먹기좋은 타입이라 좋습니다.
50,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,cndw***,5,22.04.22.,"지리산꿀스틱: 일반포장(25포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,부모님 드린다고 샀는데 넘 좋아하시네요^^~~ 저희집도 사먹을까합니다!! 많이 파세요
51,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,cndw***,5,22.04.22.,"지리산꿀스틱: 일반포장(25포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,부모님 선물로 드리기 딱 좋은 것 같아요^^ 코로나 시대에 꿀차로 드시기도 좋고~~ 저희 집도 구매할까봅니다
52,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,bebe*****,5,22.04.15.,"지리산꿀스틱: 일반포장(50포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,아이가 맛있다고 잘먹어요~~
53,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,psw0***,5,22.03.22.,"지리산꿀스틱: 일반포장(25포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,아이 한약에 섞여 먹이고 당 떨어질때 한포씩 먹으려고 구매했어요 배송도 빠르구요 맛도 좋네요^^
54,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,eve_****,4,22.03.20.,"지리산꿀스틱: 일반포장(20포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,편리하고 차로 타먹기에도 무난했어요~~ 가격이 조금 사악하지만 자주 구매할것같아요!!
55,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,jaew******,5,22.04.19.,"지리산꿀스틱: 일반포장(20포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,한달사용기간편하게 먹을 수 있는거 너무 조아욘
56,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,kkh2***,5,22.03.15.,"지리산꿀스틱: 일반포장(20포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"바나나 쉐이크 만들때
이거  하나 넣으면
진짜 맛있어요"
57,지리산 천연벌꿀 허니 스틱 꿀스틱 honey 답례품 선물세트 [원산지:국산(전라남도 구례군)],"41,000",4.8,togo*******,5,22.03.17.,"지리산꿀스틱: 일반포장(100포)
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,한포씩 포장이 되있어서 먹기도 편하고 휴대하기도 좋네요 맛도 좋고 천연벌꿀이라니 몸도 건강해지는 기분이네요
