,제품명,가격,평균평점,아이디,평점,날짜,종류,요약,리뷰
9,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,ddon******,5,22.06.15.,"미니 꿀맛: 1. (미니) 아카시아꿀+야생화꿀 / 쇼핑백: 2.선택안함 / 잭스카드: 4.선택안함
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,한달사용기잘 애용 중입니다 ~
10,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,wisd******,5,22.03.13.,"미니 꿀맛: 1. (미니) 아카시아꿀+야생화꿀 / 쇼핑백: 2.선택안함 / 잭스카드: 1. 메리카드
",유통기한아주 넉넉해요포장적당해요편리편리해요,한달사용기선물용으로 드리기 좋은 것 겉아요
11,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,ddon******,5,22.04.02.,"미니 꿀맛: 1. (미니) 아카시아꿀+야생화꿀 / 쇼핑백: 2.선택안함 / 잭스카드: 4.선택안함
",유통기한꽤 남았어요포장적당해요편리그냥그래요,jfjsjsndndksks
12,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,judo****,5,22.01.23.,"미니 꿀맛: 1. (미니) 아카시아꿀+야생화꿀 / 쇼핑백: 1. 쇼핑백추가(+800원) / 잭스카드: 3.땡스카드
",유통기한꽤 남았어요포장꼼꼼해요편리편리해요,심플하고 흔치 않으면서 명절 선물로 참 좋은것 같습니다
13,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,wisd******,5,22.02.09.,"미니 꿀맛: 1. (미니) 아카시아꿀+야생화꿀 / 쇼핑백: 2.선택안함 / 잭스카드: 1. 메리카드
",유통기한아주 넉넉해요포장적당해요편리편리해요,선물용으로 좋아요 좀 쉽게 튿어지는거같아요
14,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,wahn******,5,22.01.09.,"미니 꿀맛: 1. (미니) 아카시아꿀+야생화꿀 / 쇼핑백: 1. 쇼핑백추가(+800원) / 잭스카드: 3.땡스카드
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,한달사용기맛있고 간편하게 먹기 좋아요
15,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,wahn******,5,21.11.25.,"미니 꿀맛: 1. (미니) 아카시아꿀+야생화꿀 / 쇼핑백: 1. 쇼핑백추가(+800원) / 잭스카드: 3.땡스카드
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,꼼꼼하고 빠르게 배송받았어요. 맛도 좋아요.
16,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,hell********,5,21.10.13.,"맛: 야생화 30포 / 쇼핑백: 필요없음
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,한달사용기패키지가 같은 색이어서 헷갈리지말라고 스티커가 붙어있어요 야생화꿀은 같이 근무하는 파트너들과 함께 먹으려고 주문했는데 맛있어요. 그냥 먹어도 좋고 우유에 넣어먹어도 괜찮았어요
17,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,hell********,5,21.10.13.,"맛: 올인원 / 쇼핑백: 선택
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,한달사용기선물용으로 구입했어요 미니 가방 너무 귀엽구요👍👍라이브때 산 거여서 샘플같이 딸려온 친구들이 있는데 나름 가방에 넣어두니 꾸준히 먹게되네요. 제 입맛에도 야생화가 최곱니다!
18,잭스허니 꿀스틱 천연 국산 아카시아꿀 야생화꿀 30포 미니 [원산지:국산],"27,000",4.8,haiy********,5,21.09.28.,"맛: 아카시아 30포 / 쇼핑백: 필요없음
",유통기한아주 넉넉해요포장꼼꼼해요편리편리해요,"재구매고3 큰아이 친구들,
수시원서 쓰고..
이번주부터 논술, 면접..시작하는데,
꿀 선물하려고 준비했어요.

제가 처음 잭스허니 알게 된것도,
친구맘이 명절선물 주어서랍니다^^

세가지 맛중,
큰아이작은아이 아카시아맛이 그냥 먹기 좋다해서,
아카시아맛으로만 준비했어요.

선물로 강력히 추천해요^^"
