,ProductCode,MemberGrade,MemberName,ProductName,ReviewText,ReviewDate,ReviewLike,sentiment_label,sentiment_score,token_nouns_bareun,token_verbs_bareun
5294,5026039,퍼플,전**,[제주벌꿀영농조합법인] 제주 벌꿀 (스틱형),"사실 꿀단지 째로 사는게 푹푹 부담없이 쓰기좋지만 열때마다 뚜껑안열려서 씨름하고, 뚜껑닫을때 주르륵 흐리고 벌레꼬이거나 먼지 묻을까싶어서 또 신경쓰이고 하니까 매번불편했는데 이건 솔직히 편하고 위생적이니까 쓰게되는거같아요!  오트밀해먹거나 샐러드 소스해먹거나 생강차에도 넣고 브런치메뉴에도 같이 쏟아먹으면 달달해요!",2020.02.17,0,1,0.9757831692695618,"['꿀단지', '째', '거', '부담', '열', '때', '뚜껑안', '씨름', '뚜껑', '때', '벌레', '먼지', '신경', '불편', '이거', '위생', '적', '거', '오트밀', '샐러드', '소스', '생강차', '브런치', '메뉴']","['살', '쓰', '좋', '열리', '하', '닫', '흐리', '꼬이', '묻', '싶', '쓰이', '하', '하', '편하', '이', '쓰', '되', '같', '하', '먹', '하', '먹', '넣', '쏟아먹', '달달하']"
5295,5026039,퍼플,주**,[제주벌꿀영농조합법인] 제주 벌꿀 (스틱형),먹기편해요 당떨어질때생각해서구매했어요,2020.02.16,0,1,0.9677221179008484,"['때', '생각', '구매']","['먹', '편하', '당떨어지', '하', '하']"
5296,5026039,퍼플,이**,[제주벌꿀영농조합법인] 제주 감귤꽃 벌꿀(스틱형),스틱형...넘 맘에 들어요...ㅎ 휴대하기도 좋고 여기저기 안묻혀 그것도 좋고...샴실에 놓고 생각날때 하나씩...자연적인 맛까지 굿입니다...ㅎ,2020.02.16,0,1,0.9952880144119263,"['스틱', '형', '넘', '맘', 'ㅎ', '휴대', '여기저기', '그것', '샴실', '때', '하나', '씩', '자연', '적', '맛', '굿', 'ㅎ']","['들', '하', '좋', '묻히', '좋', '놓', '생각나', '이', '이']"
5297,5026039,퍼플,한**,[제주벌꿀영농조합법인] 제주 벌꿀 (스틱형),비싸지만 간편해요 요거트에 넣어먹어요,2020.02.15,0,1,0.9304271340370178,['요거트'],"['비싸', '간편하', '넣', '먹']"
5298,5026039,퍼플,조**,[제주벌꿀영농조합법인] 제주 벌꿀 (스틱형),뿌려먹었어요! 생각보다 비싸고 양이 적긴 한데소포장이라 깔끔해서 좋아용,2020.02.15,0,1,0.9765550494194031,"['생각', '양', '소', '포장', '깔끔']","['뿌리', '먹', '비싸', '적', '하', '이', '하', '좋']"
5299,5026039,퍼플,안**,[제주벌꿀영농조합법인] 제주 감귤꽃 벌꿀(스틱형),제주향이 느껴지는 꿀꿀꿀,2020.02.14,0,1,0.9870320558547974,['제주향'],"['느끼', '지']"
5300,5026039,퍼플,김**,[제주벌꿀영농조합법인] 제주 벌꿀 (스틱형),아주 편해요 앞으로 꿀은 이것만 사려고요,2020.02.12,0,1,0.9892054796218872,"['앞', '꿀', '이것']","['편하', '사']"
5301,5026039,퍼플,김**,[제주벌꿀영농조합법인] 제주 벌꿀 (스틱형),스틱형이라서 간단하게  먹기좋은듯,2020.02.12,0,1,0.9791933298110962,"['스틱', '형', '듯']","['이', '간단하', '먹', '좋']"
5302,5026039,퍼플,황**,[제주벌꿀영농조합법인] 제주 벌꿀 (스틱형),스틱형이라 편하고 맛있어요,2020.02.12,0,1,0.9898717999458313,"['스틱', '형']","['이', '편하', '맛있']"
5303,5026039,퍼플,우**,[제주벌꿀영농조합법인] 제주 벌꿀 (스틱형),맛없어용 ㅠㅠㅠㅠㅠ 아무도 안먹어요...,2020.02.12,0,0,0.9896502494812012,"['용', '아무']","['맛없', '먹']"
5304,5026039,퍼플,서*,[제주벌꿀영농조합법인] 제주 감귤꽃 벌꿀(스틱형),명절에 차 안에서 당 충전용으로 잘 먹었어요,2020.02.11,0,1,0.9887006878852844,"['명절', '차', '안', '당', '충전', '용']",['먹']
5305,5026039,일반,장**,[제주벌꿀영농조합법인] 제주 벌꿀 (스틱형),아침에 토마토 갈아먹을때 설탕은 부담스럽고 꿀이 필요해서 구매하게 됐어요! 생각만큼은 많이 달지 않아서 토마토 두개에 스틱 두개 넣어서 갈아봤아요! 과하지 않게 달달하니 좋아요. 금방 먹을거 같아요. ㅎㅎㅎ,2020.02.10,0,1,0.9946478009223938,"['아침', '토마토', '때', '설탕', '부담', '꿀', '필요', '구매', '생각', '토마토', '개', '스틱', '개', '거', 'ㅎ', 'ㅎ', 'ㅎ']","['갈아먹', '스럽', '하', '하', '되', '달', '않', '넣', '갈', '보', '과하', '않', '달달하', '좋', '먹', '같']"
5306,5026039,퍼플,김**,[제주벌꿀영농조합법인] 제주 벌꿀 (스틱형),먹기간편해서 좋네요!,2020.02.10,0,1,0.9869804978370667,[],"['먹', '간편하', '좋']"
5307,5026039,퍼플,오**,[제주벌꿀영농조합법인] 제주 벌꿀 (스틱형),"사용하기 편하고, 맛도 좋네요!!",2020.02.10,0,1,0.9900306463241577,"['사용', '맛']","['하', '편하', '좋']"
5308,5026039,퍼플,정*,[제주벌꿀영농조합법인] 제주 벌꿀 (스틱형),꿀 너무 맛있어요. 꿀 색이 깨끗해서  좋아요. 분량은 1/2테이블 스푼 정도에요. 아침에 물에 타서 먹기 좋아요,2020.02.10,0,1,0.9929256439208984,"['꿀', '꿀', '색', '분량', '1', '2', '테이블', '스푼', '정도', '아침', '물']","['맛있', '깨끗하', '좋', '이', '타', '먹', '좋']"
5309,5026039,퍼플,한**,[제주벌꿀영농조합법인] 제주 벌꿀 (스틱형),한포씩 되어있어서 편리하고 좋아요,2020.02.09,0,1,0.988943338394165,"['포', '씩', '편리']","['되', '있', '하', '좋']"
5310,5026039,퍼플,김**,[제주벌꿀영농조합법인] 제주 벌꿀 (스틱형),꿀 많이는 필요없어서 찾다가 스틱형 구매했는데 소포장 되어 있어서 편해요. 떡 찍어 먹었는데 달달하니 맛있었어요.,2020.02.09,0,1,0.9935218691825867,"['꿀', '필요', '스틱', '형', '구매', '소', '포장', '떡']","['없', '찾', '하', '되', '있', '편하', '찍', '먹', '달달하', '맛있']"
